,Brand_Name,Name_of_the_Product,Rating,No_of_Ratings,Price,Return_Exchange,Expected_Delivery,Availability,Other_Details,Product_URL
0,-,"Kadence Guitar Acoustica Series, Electric Acoustic Guitar, Ash Wood with Pickup and Inbuilt tuner (Ash Wood, Electro Acoustic)",,-,-,7 Days Replacement,-,-,"Brand Kadence, Manufacturer Kadence, Model A06-EQ, Product Dimensions 101.6 x 40.64 x 10.16 cm; 4.38 Kilograms, Item model number A06-EQ, Batteries Included No, Batteries Required No, Material Rose Wood, Manufacturer Kadence, Item Weight 4 kg 380 g",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00547791XCM5N3Y9O4JP&url=%2FKadence-Acoustica-Ash-Wood-Equlizer%2Fdp%2FB0757H5P13%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dguitar%26qid%3D1638688106%26sr%3D8-1-spons%26psc%3D1%26smid%3DAM04Z7MH4HSDD&qualifier=1638688106&id=484318998207725&widgetName=sp_atf
1,-,"Kadence Frontier Series, Acoustic Guitar With/Wihtout EQ Die Cast Keys Combo (Bag,strap,strings and 3 picks) (Brown, Acoustic)",,-,-,7 Days Replacement,-,-,"Brand Kadence, Manufacturer Kadence, Model FNTR-C, Product Dimensions 101.6 x 40.64 x 10.16 cm; 3.8 Kilograms, Item model number FNTR-C, Batteries Included No, Batteries Required No, Includes AC Adapter No, Manufacturer Kadence, Country of Origin China, Item Weight 3 kg 800 g",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A061107531TUGN5RHMV0N&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB01GDZ46AA%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dguitar%26qid%3D1638688106%26sr%3D8-2-spons%26psc%3D1%26smid%3DAM04Z7MH4HSDD&qualifier=1638688106&id=484318998207725&widgetName=sp_atf
2,-,"Kadence Slowhand Premium Jumbo Semi Acoustic Guitar with Heavy Padded Bag, guitar cable, Pro Capo and Guitar stand (Black Spruce Wood)",,-,-,7 Days Replacement,-,-,"Brand Kadence, Manufacturer Kadence, Model SH-02-03-04, Package Dimensions 111.76 x 33.02 x 14.73 cm; 3.63 Kilograms, Item model number SH-02-03-04, Batteries Included No, Batteries Required No, Material Rose Wood, Manufacturer Kadence, Country of Origin China, Item Weight 3 kg 630 g",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00103562TH7ZMEL1FOWU&url=%2FKadence-Slowhand-Premium-Acoustic-Instrument%2Fdp%2FB077SZ667X%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dguitar%26qid%3D1638688106%26sr%3D8-3-spons%26psc%3D1%26smid%3DAM04Z7MH4HSDD&qualifier=1638688106&id=484318998207725&widgetName=sp_atf
3,-,"Juarez Acoustic Guitar Kit, 38 Inch Cutaway, 38C with Bag, Strings, Pick and Strap, 3TS Sunburst",,-,-,7 Days Replacement,-,-,"Product Dimensions 96 x 43 x 12 cm; 2 Kilograms, Item model number JRZ38C, Back Material Blackwood, Body Material Wood, Colour Sunburst, Fretboard Material Ebony, Guitar Pickup Configuration Combination, String Material Steel, Neck Material Type Lindenwood, Number of Strings 6, Guitar Bridge System Hardtail Bridge, Material Linden Wood, Item Weight 2 kg, Manufacturer Juârez, Country of Origin China, Imported By Photronics Inc. Unit 110-111, Bldg B-18, Arihant Commercial Complex, Purna Village, Bhiwandi(Thane) - 421 302",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A095465029Y2GH23BGOEO&url=%2FJUAREZ-JRZ38C-Acoustic-Sunburst-Strings%2Fdp%2FB01FYYTDTU%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dguitar%26qid%3D1638688106%26sr%3D8-4-spons%26psc%3D1&qualifier=1638688106&id=484318998207725&widgetName=sp_atf
4,-,"Intern INT-38C Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Black",,-,-,7 Days Replacement,-,-,"Brand Intern, Manufacturer Guangzhou Hipatti Trading Co., Ltd, Guangzhou Hipatti Trading Co., Ltd Room 14, Room 307, No. 2, Yishou Street, Sanyuanli Avenue, Tangjing Street, Baiyun District, Guangzhou,China, Model INT-38C, Product Dimensions 98 x 40 x 11 cm; 2.1 Kilograms, Item model number INT-38C, Special Features Suitable for all genres of music: Rock, Pop, Country, Folk and Jazz, All-in-one guitar pack, Unmatched Intonation due to special curved design, 1 year warranty, Mounting Hardware 1N Guitar, 1N Strap, 1n Bag, 1N String Set, 3N Guitar Picks, Number Of Items 6, Batteries Included No, Batteries Required No, Material Linden Wood, Hand Orientation Right, Manufacturer Guangzhou Hipatti Trading Co., Ltd, Country of Origin China, Imported By Dexter Ventures C/o UTL Logictics Pvt Ltd., Building No K-9, Gala No 4-6, Vadghar Village, Bhiwandi, Thane, Maharsahtra - 421302, Item Weight 2 kg 100 g",https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Black/dp/B073B6TQQY/ref=sr_1_5?keywords=guitar&qid=1638688106&sr=8-5
5,-,"Juârez Acoustic Guitar, 38 Inch Cutaway, 038C with Bag, Strings, Pick and Strap, Black",,-,-,7 Days Replacement,-,-,"Product Dimensions 98 x 40 x 10 cm; 2.06 Kilograms, Item model number 038C, Back Material Plastic, Wood, Ebony, Basswood, Body Material Wood, Colour Black, Fretboard Material Ebony, String Material Steel, Number of Strings 6, Material Linden Wood, Size 38C, Item Weight 2 kg 60 g, Manufacturer YAMONA INDUSTRIAL CO., Country of Origin China, Imported By Photronics Inc. Unit 110-111, Bldg B-18, Arihant Commercial Complex, Purna Village, Bhiwandi(Thane) - 421 302",https://www.amazon.in/Juarez-Acoustic-Cutaway-038C-Strings/dp/B017NPCSLI/ref=sr_1_6?keywords=guitar&qid=1638688106&sr=8-6
6,-,"Juarez Acoustic Guitar Kit, 38 Inch Cutaway, 38C with Bag, Strings, Pick and Strap, TBS Transparent Blue Sunburst",,-,-,7 Days Replacement,-,-,"Product Dimensions 98 x 40 x 10 cm; 2.1 Kilograms, Item model number JRZ38C/TBLS, Back Material Plastic, Wood, Basswood, Body Material Wood, Colour TBS Transparent Blue Sunburst, Fretboard Material Ebony, String Material Steel, Neck Material Type Plastic, Material Linden Wood, Item Weight 2 kg 100 g, Manufacturer YAMONA INDUSTRIAL CO., Country of Origin China, Imported By Photronics Inc. Unit 110-111, Bldg B-18, Arihant Commercial Complex, Purna Village, Bhiwandi(Thane) - 421 302",https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Sunburst-Strings/dp/B01FYYTDS6/ref=sr_1_7?keywords=guitar&qid=1638688106&sr=8-7
7,-,Fender CD 60 Dread V3 DS 6 String Acoustic Guitar - Walnut Fretboard-Black,,-,-,7 Days Replacement,-,-,"Brand Fender, Manufacturer Fender, Model 970110506, Model Name Fender, Model Year 2019, Product Dimensions 96.1 x 43.1 x 8 cm; 2 Grams, Item model number 970110506, Mounting Hardware 1N Guitar, Number Of Items 1, Batteries Included No, Batteries Required No, Hand Orientation Not relevant for this product, Manufacturer Fender, Country of Origin Indonesia, Imported By Reemal Investrade Company,04, Congress House, V P Road, Mumbai, Maharashtra 400004, Item Weight 2 g",https://www.amazon.in/Fender-Dread-String-Acoustic-Guitar/dp/B07RM4B5LJ/ref=sxin_13?asc_contentid=amzn1.osa.f58deffe-fdc4-4e85-b968-790674fa4e6b.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.f58deffe-fdc4-4e85-b968-790674fa4e6b.A21TJRUUN4KGV.en_IN&creativeASIN=B07RM4B5LJ&cv_ct_cx=guitar&cv_ct_id=amzn1.osa.f58deffe-fdc4-4e85-b968-790674fa4e6b.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=guitar&linkCode=oas&pd_rd_i=B07RM4B5LJ&pd_rd_r=e027e1d8-5abe-4e39-9adc-5d4ec6c6f815&pd_rd_w=WIcPZ&pd_rd_wg=0XHHg&pf_rd_p=e4486132-6bf3-41ec-9117-f9c13185d2bc&pf_rd_r=C3C1JX1XBA13D1J4Z8NP&qid=1638688106&sr=1-1-c84eb971-91f2-4a4d-acce-811265c24254&tag=digitin-21
8,-,"Epiphone AJ-220S Acoustic Guitar, Vintage Sunburst",,-,-,7 Days Replacement,-,-,"Brand Epiphone, Manufacturer Epiphone, Gibson Brands Inc, 209 10th Avenue South, Suite 460 Nashville, TN 37203 USA, Model EA22VSNH3, Product Dimensions 100 x 45 x 22 cm; 1 Kilograms, Item model number EA22VSNH3, Batteries Included No, Batteries Required No, Hand Orientation Right, Contains Liquid Contents No, Includes AC Adapter No, Manufacturer Epiphone, Item Weight 1 kg",https://www.amazon.in/Epiphone-AJ-220S-Acoustic-Vintage-Sunburst/dp/B003TZGAHU/ref=sxin_13?asc_contentid=amzn1.osa.f58deffe-fdc4-4e85-b968-790674fa4e6b.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.f58deffe-fdc4-4e85-b968-790674fa4e6b.A21TJRUUN4KGV.en_IN&creativeASIN=B003TZGAHU&cv_ct_cx=guitar&cv_ct_id=amzn1.osa.f58deffe-fdc4-4e85-b968-790674fa4e6b.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=guitar&linkCode=oas&pd_rd_i=B003TZGAHU&pd_rd_r=e027e1d8-5abe-4e39-9adc-5d4ec6c6f815&pd_rd_w=WIcPZ&pd_rd_wg=0XHHg&pf_rd_p=e4486132-6bf3-41ec-9117-f9c13185d2bc&pf_rd_r=C3C1JX1XBA13D1J4Z8NP&qid=1638688106&sr=1-2-c84eb971-91f2-4a4d-acce-811265c24254&tag=digitin-21
9,-,"Ibanez V50NJP-NT Acoustic Guitar Pre Pack, Dreadnought, Natural High Gloss",,-,-,7 Days Replacement,-,-,"Brand Ibanez, Manufacturer Ibanez, Model V50NJP-NT, Model Name Ibanez, Product Dimensions 95 x 46 x 14 cm; 3.52 Kilograms, Batteries 2 AA batteries required., Item model number V50NJP-NT, Mounting Hardware Ibanez V50NJP-NT Acoustic Guitar Pre Pack, Dreadnought, Natural High Gloss, Number Of Items 1, Batteries Included No, Batteries Required No, Hand Orientation Right, Contains Liquid Contents No, Includes AC Adapter No, Manufacturer Ibanez, Country of Origin Indonesia, Imported By Music Distribution Co,156 Kanji Mansion Bldg,Nanu Bhai Desai Road,Mumbai-400004, Item Weight 3 kg 520 g",https://www.amazon.in/Ibanez-V50NJP-NT-Acoustic-Dreadnought-Natural/dp/B0015Y6KP4/ref=sxin_13?asc_contentid=amzn1.osa.f58deffe-fdc4-4e85-b968-790674fa4e6b.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.f58deffe-fdc4-4e85-b968-790674fa4e6b.A21TJRUUN4KGV.en_IN&creativeASIN=B0015Y6KP4&cv_ct_cx=guitar&cv_ct_id=amzn1.osa.f58deffe-fdc4-4e85-b968-790674fa4e6b.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=guitar&linkCode=oas&pd_rd_i=B0015Y6KP4&pd_rd_r=e027e1d8-5abe-4e39-9adc-5d4ec6c6f815&pd_rd_w=WIcPZ&pd_rd_wg=0XHHg&pf_rd_p=e4486132-6bf3-41ec-9117-f9c13185d2bc&pf_rd_r=C3C1JX1XBA13D1J4Z8NP&qid=1638688106&sr=1-3-c84eb971-91f2-4a4d-acce-811265c24254&tag=digitin-21
